Company,QuarterDate,working_capital_to_total_assets,retained_earnings_to_total_assets,ebit_to_total_assets,mve_to_total_liabilities,sales_to_total_assets,current_ratio,debt_to_equity_ratio,net_profit_margin,z_score,z_score_next_quarter
ACL.N0000,3/31/2012,0.235,0.2036,0.0895,1.2564,1.0297,1.4778,1.239,0.044,2.6459,1.5289
ACL.N0000,6/30/2012,0.2185,0.196,0.0149,1.1752,0.238,1.387,1.1734,0.0187,1.5289,1.7247
ACL.N0000,9/30/2012,0.2421,0.1935,0.0253,1.3422,0.2745,1.4438,1.1781,0.0361,1.7247,1.4974
ACL.N0000,12/31/2012,0.1949,0.1885,0.0149,1.1786,0.2433,1.3894,1.0548,0.0101,1.4974,1.4955
ACL.N0000,3/31/2013,0.1384,0.2065,0.0169,1.1606,0.2882,1.4726,1.0784,0.0122,1.4955,1.6012
ACL.N0000,6/30/2013,0.1894,0.2107,0.0118,1.2916,0.265,1.4046,1.0924,0.0032,1.6012,1.561
ACL.N0000,9/30/2013,0.1826,0.2065,0.0268,1.1594,0.2687,1.3746,1.1516,0.0361,1.561,1.409
ACL.N0000,12/31/2013,0.1717,0.1974,0.0156,1.0709,0.2326,1.336,1.242,0.0101,1.409,1.2985
ACL.N0000,3/31/2014,0.1696,0.1967,0.0149,0.7942,0.2939,1.3219,1.2532,0.0105,1.2985,1.0576
ACL.N0000,6/30/2014,0.1713,0.1945,0.0085,0.5873,0.1993,1.3224,1.3089,0.0005,1.0576,1.092
ACL.N0000,9/30/2014,0.1758,0.1937,0.0179,0.546,0.2232,1.3235,1.3837,0.0476,1.092,1.1463
ACL.N0000,12/30/2014,0.1909,0.2001,0.02,0.5827,0.2215,1.3993,1.3603,0.0485,1.1463,1.2001
ACL.N0000,3/31/2015,0.2059,0.2065,0.022,0.6193,0.2197,1.475,1.3368,0.0493,1.2001,1.2692
ACL.N0000,6/30/2015,0.236,0.218,0.0221,0.6526,0.2163,1.5775,1.3899,0.051,1.2692,1.6046
ACL.N0000,9/30/2015,0.271,0.2413,0.0544,0.8713,0.2393,1.7681,1.2478,0.066,1.6046,1.9735
ACL.N0000,12/31/2015,0.3335,0.2647,0.0868,1.0899,0.2623,1.9587,1.1057,0.0432,1.9735,2.7034
ACL.N0000,3/31/2016,0.2952,0.2999,0.1107,1.1328,0.8843,2.0487,0.829,0.0968,2.7034,1.7289
ACL.N0000,6/30/2016,0.3075,0.2802,0.0268,1.1223,0.2058,1.8744,0.8582,0.08,1.7289,2.0827
ACL.N0000,9/30/2016,0.1671,0.2843,0.0815,1.3223,0.4218,1.8253,0.8306,0.1714,2.0827,2.322
ACL.N0000,12/31/2016,0.1924,0.2922,0.1103,1.274,0.5537,1.949,0.8796,0.1641,2.322,3.0262
ACL.N0000,3/31/2017,0.2683,0.3545,0.1538,1.295,0.9234,2.3778,0.7726,0.0139,3.0262,1.1837
ACL.N0000,6/30/2017,-0.0107,0.3106,0.0028,0.96,0.1765,0.7235,1.0427,-0.0118,1.1837,1.4368
ACL.N0000,9/30/2017,0.1347,0.3016,0.027,0.9247,0.209,1.549,1.1009,0.079,1.4368,1.8322
ACL.N0000,12/31/2017,0.2078,0.2926,0.0249,0.847,0.5828,1.5364,0.9263,0.0289,1.8322,2.0944
ACL.N0000,3/31/2018,0.2955,0.3427,0.0784,1.2647,0.2425,1.7359,0.7912,0.0546,2.0944,1.5336
ACL.N0000,6/30/2018,0.1414,0.3305,0.0057,1.0941,0.226,1.6654,0.9139,0.0088,1.5336,1.5441
ACL.N0000,9/30/2018,0.1569,0.3212,0.0104,1.0538,0.2395,1.6147,0.9489,0.0346,1.5441,1.5235
ACL.N0000,12/31/2018,0.1421,0.3082,0.0315,0.9438,0.2513,1.5509,1.0608,0.0486,1.5235,1.6435
ACL.N0000,3/31/2019,0.2519,0.3279,0.0479,1.0475,0.0956,1.2653,0.9533,0.0289,1.6435,1.6182
ACL.N0000,6/30/2019,0.2461,0.3205,0.0121,0.989,0.2409,1.3786,1.0103,0.0151,1.6182,1.7814
ACL.N0000,9/30/2019,0.2977,0.3275,0.0255,1.0327,0.2619,1.5527,0.968,0.0647,1.7814,1.431
ACL.N0000,12/31/2019,0.2157,0.2911,0.0144,0.8117,0.2301,1.5861,1.2315,0.0284,1.431,1.7228
